"Acanthocorisscabrator"	"Acanthiophilushelianthi"	"Clavigrallatomentosicollis"	"Acanthoscelidesobtectus"	"Acalymmavittatum"	"Acherontiastyx"	"Aclerisgloverana"	"Acraeaacerata"	"Acronictarumicis"	"Acrolepiopsisassectella"	"Acyrthosiphonkondoi"	"Acyrthosiphonpisum"	"Adoretussinicus"	"Adoretusversutus"	"Aeolesthessarta"	"Agromyzafrontella"	"Agromyzaoryzae"	"Agrioteslineatus"	"Agrotisexclamationis"	"Agrotissegetum"	"Agrotisipsilon"	"Ahasverusadvena"	"Alcidodesdentipes"	"Aulocaraelliotti"	"Aleurocanthusspiniferus"	"Aleurocanthuswoglumi"	"Aleurodicuscocois"	"Aleurodicusdestructor"	"Aleurodicusdispersus"	"Aleurodicuspulvinatus"	"Alphitobiusdiaperinus"	"Alphitobiuslaevigatus"	"Aleurothrixusfloccosus"	"Ampelophagarubiginosa"	"Amritodusatkinsoni"	"Amsactamoorei"	"Anaphothripsobscurus"	"Anarsialineatella"	"Anoplophorachinensis"	"Anoplophoraglabripennis"	"Anastrephafraterculus"	"Anastrephagrandis"	"Anastrephamanihoti"	"Anastrephaobliqua"	"Anastrephaserpentina"	"Anastrephastriata"	"Antestiopsisorbitalis"	"Anthonomusbisignifer"	"Anthonomussignatus"	"Anthonomuseugenii"	"Anthonomusgrandis"	"Anthonomuspomorum"	"Antigastracatalaunalis"	"Brachycaudushelichrysi"	"Aonidiellaaurantii"	"Aonidiellacitrina"	"Aonidiellaorientalis"	"Aonidomytilusalbus"	"Apatemonachus"	"Aphiscraccivora"	"Aphisfabae"	"Aphisglycines"	"Aphisgossypii"	"Aphispomi"	"Aphisspiraecola"	"Aproaeremamodicella"	"Araecerusfasciculatus"	"Choristoneuraconflictana"	"Hedyanubiferana"	"Conopomorphacramerella"	"Acrocercopssyngramma"	"Artonacatoxantha"	"Aspidiotusdestructor"	"Aspidiotusnerii"	"Athaliarosae"	"Atherigonaatripalpis"	"Atherigonabiseta"	"Atherigonamiliaceae"	"Atherigonanaqvii"	"Atherigonaorientalis"	"Atherigonaoryzae"	"Atherigonapunctata"	"Atherigonapulla"	"Atherigonasoccata"	"Aulacophorafoveicollis"	"Aulacophoralewisii"	"Aulacophoraindica"	"Aulacaspistubercularis"	"Mamestrabrassicae"	"Mamestraconfigurata"	"Bathycoeliathalassina"	"Batocerarubus"	"Batocerarufomaculata"	"Bactroceracarambolae"	"Bactrocerafrauenfeldi"	"Bactroceralatifrons"	"Bactroceraminax"	"Bactrocerapapayae"	"Bactroceratau"	"Bactroceratsuneonis"	"Bactroceraumbrosa"	"Bedelliasomnulentella"	"Bemisiatabaci"	"Bistonsuppressaria"	"Blissusleucopterus"	"Penicillariajocosatrix"	"Diuraphisnoxia"	"Brachycerusmuricatus"	"Brontispalongissima"	"Bruchophagusroddi"	"Brevenniarehi"	"Brevicorynebrassicae"	"Busseolafusca"	"Byturustomentosus"	"Archipsrosana"	"Cacyreusmarshalli"	"Sitophilusgranarius"	"Sitophiluszeamais"	"Laodelphaxstriatellus"	"Caloptiliatheivora"	"Callosobruchusanalis"	"Callosobruchuschinensis"	"Callosobruchusmaculatus"	"Adoxophyesorana"	"Caryedonserratus"	"Carpophilushumeralis"	"Cydiapomonella"	"Carposinasasakii"	"Carpomyapardalina"	"Caulophilusoryzae"	"Cephuscinctus"	"Cephuspygmeus"	"Cerotomatrifurcata"	"Ceroplastesceriferus"	"Ceroplastesdestructor"	"Ceroplastesfloridensis"	"Ceroplastesjaponicus"	"Ceroplastesrubens"	"Ceroplastesrusci"	"Ceratitiscapitata"	"Ceratitiscosyra"	"Ceratitispunctata"	"Ceratitisrosa"	"Ceutorhynchusassimilis"	"Chaetocnemaconfinis"	"Chilosuppressalis"	"Chilopartellus"	"Aulacaspistegalensis"	"Pulvinariapsidii"	"Chondracrisrosea"	"Choristoneurarosaceana"	"Chrysodeixischalcites"	"Chrysodeixiseriosoma"	"Chrysodeixisincludens"	"Chaetosiphonfragaefolii"	"Chrysomphalusdictyospermi"	"Chrysomphalusaonidum"	"Cicadulinambila"	"Clavigrallaelongata"	"Clavigrallascutellaris"	"Clanisbilineata"	"Cnaphalocrocismedinalis"	"Cnephasialongana"	"Coccushesperidum"	"Coccusviridis"	"Coelaenomenoderaelaeidis"	"Cofanaspectra"	"Conotrachelusnenuphar"	"Contarinialycopersici"	"Stenodiplosissorghicola"	"Contariniatritici"	"Coptotermesformosanus"	"Corcyracephalonica"	"Cosmopolitessordidus"	"Anomissabulifera"	"Cossuscossus"	"Criculatrifenestrata"	"Cryptomyzusribis"	"Crocidolomiapavonana"	"Crocidosemaplebejana"	"Nesidiocoristenuis"	"Ceratovacunalanigera"	"Cryptoblabesgnidiella"	"Cryptolestesferrugineus"	"Cryptolestespusillus"	"Sternochetusmangiferae"	"Citripestissagittiferella"	"Grapholitainopinata"	"Cydialeucostoma"	"Grapholitapackardi"	"Cylasformicarius"	"Cylaspuncticollis"	"Dacusciliatus"	"Bactroceracucurbitae"	"Bactroceradorsalis"	"Bactroceraoleae"	"Bactrocerazonata"	"Dalbulusmaidis"	"Darnadiducta"	"Dasineurabrassicae"	"Dasineuramali"	"Dasineurapyri"	"Diabolocatantopsaxillaris"	"Deilephilaelpenor"	"Dendroctonusfrontalis"	"Dendroctonusmicans"	"Dendroctonuspseudotsugae"	"Deporausmarginatus"	"Diaphorinacitri"	"Diabroticabalteata"	"Diabroticabarberi"	"Diabroticaspeciosa"	"Diabroticaundecimpunctata"	"Diabroticavirgiferavirgifera"	"Dialeurodescitri"	"Chiloauricilius"	"Diatraeagrandiosella"	"Chiloinfuscatellus"	"Diatraeasaccharalis"	"Conogethespunctiferalis"	"Dioryctriaabietella"	"Diprionpini"	"Diaphaniaindica"	"Diaphanianitidalis"	"Diaprepesabbreviatus"	"Diaprepesfamelicus"	"Drosophilamelanogaster"	"Dryocoetesconfusus"	"Dysaphisplantaginea"	"Dysdercuscingulatus"	"Dysmicoccusbrevipes"	"Dyspessaulula"	"Eariasbiplaga"	"Eariasvittella"	"Eariasinsulana"	"Edessameditabunda"	"Elaeidobiuskamerunicus"	"Elasmopalpuslignosellus"	"Eldanasaccharina"	"Amrascabiguttulabiguttula"	"Empoascafabae"	"Empoascavitis"	"Epidiaspisleperii"	"Cadracautella"	"Ephestiaelutella"	"Henosepilachnaelaterii"	"Henosepilachnapusillanima"	"Epilachnavarivestis"	"Epilachnavigintioctopunctata"	"Crocidosemaaporema"	"Epitrixcucumeris"	"Epitrixtuberis"	"Caliroacerasi"	"Erinnyisello"	"Eriosomalanigerum"	"Erionotathrax"	"Erosomyiamangiferae"	"Etiellazinckenella"	"Saturniapavonia"	"Eudocimafullonia"	"Euproctischrysorrhoea"	"Eurydemapulchrum"	"Eurygasterintegriceps"	"Euscepespostfasciatus"	"Eutinobothrusbrasiliensis"	"Rhyacioniabuoliana"	"Ferrisiavirgata"	"Frankliniellafusca"	"Frankliniellaintonsa"	"Frankliniellaoccidentalis"	"Frankliniellaschultzei"	"Fulmekiolaserrata"	"Gilpiniahercyniae"	"Gnathotrichussulcatus"	"Keiferialycopersicella"	"Gonipterusgibberus"	"Naupactusleucoloma"	"Grapholitadelineana"	"Gryllotalpaafricana"	"Gynaikothripsficorum"	"Haplothripsaculeatus"	"Haplothripstritici"	"Hemiberlesialataniae"	"Hemiberlesiarapax"	"Omiodesdiemenalis"	"Omiodesindicata"	"Nacoleiaoctasema"	"Helicoverpaarmigera"	"Helicoverpaassulta"	"Heliothisvirescens"	"Helicoverpazea"	"Helopeltisbergrothi"	"Helopeltisschoutedeni"	"Helopeltistheivora"	"Heliothripshaemorrhoidalis"	"Hercinothripsfemoralis"	"Agriuscingulatus"	"Agriusconvolvuli"	"Heteronychusarator"	"Heteronychuslicas"	"Hieroglyphusbanian"	"Dicladispaarmigera"	"Hellulaundalis"	"Homonacoffearia"	"Horciasnobilellus"	"Hypomecessquamosus"	"Hippotioncelerio"	"Hypothenemusobscurus"	"Heteropsyllacubana"	"Hyalopteruspruni"	"Hyblaeapuera"	"Hydraeciamicacea"	"Hydrelliagriseola"	"Hydrelliaphilippina"	"Deliaantiqua"	"Deliaradicum"	"Deliacoarctata"	"Deliafloralis"	"Deliaplatura"	"Spoladearecurvalis"	"Hyperomyzuslactucae"	"Hyphantriacunea"	"Hyperapostica"	"Hyperazoilus"	"Iceryaaegyptiaca"	"Iceryapurchasi"	"Iceryaseychellarum"	"Idioscopusclypealis"	"Indarbeladea"	"Ipsamitinus"	"Ipscalligraphus"	"Ipscembrae"	"Ipsconfusus"	"Ipsduplicatus"	"Ipsgrandicollis"	"Japanagromyzatristella"	"Holotrichiaserrata"	"Lampidesboeticus"	"Spodopteraexigua"	"Spodopteraexempta"	"Spodopterafrugiperda"	"Lasiodermaserricorne"	"Grapholitafunebrana"	"Grapholitamolesta"	"Grapholitaprunivora"	"Cydiasplendana"	"Latheticusoryzae"	"Eulecaniumtiliae"	"Oulemamelanopus"	"Leptocorisaacuta"	"Leptocorisaoratorius"	"Lepidosaphesbeckii"	"Lepidosaphesgloverii"	"Lepidosaphesulmi"	"Leptinotarsadecemlineata"	"Leucopteracaffeina"	"Perileucopteracoffeella"	"Leucinodesorbonalis"	"Leucomasalicis"	"Limothripscerealium"	"Limothripsdenticornis"	"Lipaphiserysimi"	"Liposcelisbostrychophila"	"Liposcelispaeta"	"Liriomyzabrassicae"	"Liriomyzabryoniae"	"Liriomyzahuidobrensis"	"Liriomyzasativae"	"Liriomyzatrifolii"	"Listronotusbonariensis"	"Lissorhoptrusoryzophilus"	"Listroderescostirostris"	"Locustamigratoria"	"Lopholeucaspisjaponica"	"Loxostegesticticalis"	"Lepidiotastigma"	"Lyguslineolaris"	"Lymantriadispar"	"Lymantriamonacha"	"Macrosiphumeuphorbiae"	"Macrostelesquadrilineatus"	"Malacosomaamericanum"	"Malacosomadisstria"	"Malacosomaneustria"	"Marasmiaexigua"	"Marucavitrata"	"Mayetioladestructor"	"Melanagromyzaobtusa"	"Ophiomyiaphaseoli"	"Melanagromyzasojae"	"Megachilerotundata"	"Megastesgrandalis"	"Megalurothripsusitatus"	"Megymenumbrevicorne"	"Melanaspisglomerata"	"Melanaphissacchari"	"Meligethesaeneus"	"Melolonthamelolontha"	"Cydialatiferreana"	"Melanoplusbivittatus"	"Melanoplussanguinipes"	"Meromyzasaltatrix"	"Mesoplatyscincta"	"Mesoplatysochroptera"	"Metamasiushemipterus"	"Metopolophiumdirhodum"	"Metopolophiumfestucae"	"Melanitisledaismene"	"Mocislatipes"	"Monochamuscarolinensis"	"Monochamussaltuarius"	"Monochamusscutellatus"	"Monochamussutor"	"Metcalfapruinosa"	"Mussidianigrivenella"	"Mythimnaloreyi"	"Myzuscerasi"	"Myzuspersicae"	"Narangadiffusa"	"Nasonoviaribisnigri"	"Nephotettixcincticeps"	"Nephotettixvirescens"	"Nephotettixnigropictus"	"Acrosternumhilare"	"Nezaraviridula"	"Nilaparvatalugens"	"Nipaecoccusnipae"	"Nipaecoccusviridis"	"Neoaliturushaematoceps"	"Nomadacrisseptemfasciata"	"Acrobasispyrivorella"	"Odoiporuslongicollis"	"Oedaleussenegalensis"	"Omphisaanastomosalis"	"Achaeajanata"	"Ophiomyiacentrosematis"	"Opogonasacchari"	"Operophterabrumata"	"Orgyiaantiqua"	"Orgyiapostica"	"Orgyiapseudotsugata"	"Orosiusorientalis"	"Orseoliaoryzae"	"Ortheziainsignis"	"Orthosiacerasi"	"Oryctesboas"	"Oryctesmonoceros"	"Oryctesrhinoceros"	"Oryzaephilusmercator"	"Oryzaephilussurinamensis"	"Ostriniafurnacalis"	"Otiorhynchusarmadillo"	"Otiorhynchusovatus"	"Otiorhynchusrugosostriatus"	"Otiorhynchussingularis"	"Otiorhynchussulcatus"	"Oxyachinensis"	"Orseoliaoryzivora"	"Pantomoruscervinus"	"Papiliodemoleus"	"Papiliopolytes"	"Parlatoriablanchardi"	"Parlatoriaoleae"	"Parlatoriapergandii"	"Parlatoriaziziphi"	"Parnaraguttatus"	"Parasalepida"	"Paracoccusmarginatus"	"Pseudodendrothripsmori"	"Pectinophoragossypiella"	"Pelopidasmathias"	"Pentalonianigronervosa"	"Peregrinusmaidis"	"Peridromasaucia"	"Perkinsiellasaccharicida"	"Perkinsiellavastatrix"	"Aclerisvariana"	"Pegomyahyoscyami"	"Maconellicoccushirsutus"	"Phenacoccusmanihoti"	"Phenacoccusmadeirensis"	"Philaenusspumarius"	"Phoracanthasemipunctata"	"Phorodonhumuli"	"Phyllonorycterblancardella"	"Phyllonoryctercrataegella"	"Scrobipalpaocellatella"	"Phthorimaeaoperculella"	"Phyllotretachotanica"	"Phyllotretacruciferae"	"Phyllotretastriolata"	"Phyllocnistiscitrella"	"Chromatomyiahorticola"	"Pierisbrassicae"	"Pierisrapae"	"Piezodorusguildinii"	"Piezodorushybneri"	"Pimelephilaghesquierei"	"Pinnaspisstrachani"	"Pissodesnemorensis"	"Pissodescastaneus"	"Pissodesstrobi"	"Pissodesterminalis"	"Platynotastultana"	"Planococcuskenyae"	"Planococcuslilacinus"	"Pectinophorascutigera"	"Plocaederusruficornis"	"Plocaederusobesus"	"Plodiainterpunctella"	"Autographanigrisigna"	"Plutellaxylostella"	"Pandemiscerasana"	"Pandemisheparana"	"Poecilocorislatus"	"Lobesiabotrana"	"Popilliajaponica"	"Parabemisiamyricae"	"Prayscitri"	"Praysoleae"	"Paranthrenetabaniformis"	"Spodopteraeridania"	"Spodopteralitura"	"Prostephanustruncatus"	"Promecothecacaerulipennis"	"Promecothecacumingii"	"Chilosacchariphagus"	"Chilopolychrysus"	"Manducasexta"	"Parapoynxstagnalis"	"Pyrrhaltaluteola"	"Pseudaulacaspiscockerelli"	"Pseudaulacaspispentagona"	"Pseudococcuslongispinus"	"Planococcuscitri"	"Pseudococcuscomstocki"	"Pseudococcuscalceolariae"	"Pseudococcusjackbeardsleyi"	"Planococcoidesnjalensis"	"Saccharicoccussacchari"	"Mythimnaseparata"	"Mythimnaunipuncta"	"Psilarosae"	"Psylliodeschrysocephala"	"Cacopsyllapyricola"	"Cacopsyllapyri"	"Cacopsyllapyrisuga"	"Pterochloroidespersicae"	"Parthenolecaniumcorni"	"Parthenolecaniumpersicae"	"Pyrillaperpusilla"	"Ostrinianubilalis"	"Autographagamma"	"Diaspidiotusostreaeformis"	"Diaspidiotusperniciosus"	"Rastrococcusiceryoides"	"Rastrococcusinvadens"	"Reciliadorsalis"	"Rhagoletiscerasi"	"Rhagoletiscingulata"	"Rhagoletiscompleta"	"Rhagoletisfausta"	"Rhagoletisindifferens"	"Rhagoletismendax"	"Rhagoletispomonella"	"Rhagoletisribicola"	"Rhipiphorothripscruentatus"	"Rhyzoperthadominica"	"Rhopalosiphuminsertum"	"Rhopalosiphummaidis"	"Rhopalosiphumpadi"	"Rhopalosiphumrufiabdominale"	"Rhyacioniafrustrana"	"Rhynchophorusferrugineus"	"Rhynchophoruspalmarum"	"Rhynchophorusphoenicis"	"Rhynchophorusvulneratus"	"Sahlbergellasingularis"	"Saissetiacoffeae"	"Parasaissetianigra"	"Saissetiaoleae"	"Scaphoideustitanus"	"Scirpophagaincertulas"	"Scirpophaganivella"	"Scirpophagaexcerptalis"	"Scirtothripsaurantii"	"Scirtothripsdorsalis"	"Chaetanaphothripsorchidii"	"Chaetanaphothripssignipennis"	"Scolytusmultistriatus"	"Thaumatotibialeucotreta"	"Scolytusscolytus"	"Hadulatrifolii"	"Scotinopharacoarctata"	"Tutaabsoluta"	"Scyphophorusacupunctatus"	"Schizaphisgraminum"	"Selenaspidusarticulatus"	"Sesamiacalamistis"	"Sesamiacretica"	"Sesamiainferens"	"Sesamianonagrioides"	"Schistocercagregaria"	"Sinoxylonconigerum"	"Siphaflava"	"Siphamaydis"	"Sitodiplosismosellana"	"Sitonacylindricollis"	"Sitonadiscoideus"	"Sitonahispidulus"	"Sitonahumeralis"	"Sitonalepidus"	"Sitonalineatus"	"Sitotrogacerealella"	"Selenothripsrubrocinctus"	"Sminthurusviridis"	"Sogatellafurcifera"	"Spilonotaocellana"	"Siphoninusphillyreae"	"Spodopteralittoralis"	"Spodopteramauritiaacronyctoides"	"Rhabdoscelusobscurus"	"Sphaerolecaniumprunastri"	"Indarbelaquadrinotata"	"Statherotisdiscana"	"Ceresaalta"	"Stegobiumpaniceum"	"Hypothenemushampei"	"Stenomacatenifer"	"Stephanitistypica"	"Sitobionavenae"	"Sitobionfragariae"	"Steirastomabreve"	"Saturniapyri"	"Haritalodesderogata"	"Anthonomusquadrigibbus"	"Megalurothripsdistalis"	"Taeniothripsinconsequens"	"Thripssimplex"	"Megalurothripssjostedti"	"Tagosodesorizicolus"	"Tarophaguscolocasiae"	"Tarophaguspersephone"	"Tenebroidesmauritanicus"	"Teciasolanivora"	"Tessaratomapapillosa"	"Therioaphistrifolii"	"Thaumetopoeapityocampa"	"Anticarsiagemmatalis"	"Theretraclotho"	"Theretraoldenlandiae"	"Thripsangusticeps"	"Thripsflavus"	"Thripshawaiiensis"	"Thripsimaginis"	"Stenchaetothripsbiformis"	"Thripspalmi"	"Thripstabaci"	"Tipulapaludosa"	"Tiracolaplagiata"	"Epiphyaspostvittana"	"Cacoecimorphapronubana"	"Tortrixviridana"	"Toxopteraaurantii"	"Toxopteracitricida"	"Toxopteraodinae"	"Toxotrypanacurvicauda"	"Trialeurodesricini"	"Trialeurodesvaporariorum"	"Triboliumcastaneum"	"Triboliumconfusum"	"Trichoplusiani"	"Thysanoplusiaorichalcea"	"Triozaerytreae"	"Trogodermagranarium"	"Trogodermavariabile"	"Tirathabarufivena"	"Scirpophagainnotata"	"Tetramoeraschistaceana"	"Typhaeastercorea"	"Unaspiscitri"	"Unaspisyanonensis"	"Urentiushystricellus"	"Viteusvitifoliae"	"Euwallaceadestruens"	"Xyleborusdispar"	"Xyleborusferrugineus"	"Euwallaceafornicatus"	"Xyleborusperforans"	"Xylotrechusquadripes"	"Xylosandruscompactus"	"Xylosandrusmorigerus"	"Zabrotessubfasciatus"	"Zeuzeracoffeae"	"Zeuzerapyrina"	"Zygogrammabicolorata"	"Zonoceruselegans"	"Zonocerusvariegatus"	"Bactrocerainvadens"	"Bactroceratryoni"	"Drosophilasuzukii"	"Halyomorphahalys"	"Helopeltisantonii"	"Homalodiscavitripennis"	"Hyalesthesobsoletus"	"Margarodesprieskaensis"	"Margarodesvredendalensis"	"Naupactusxanthographus"	"Phenacoccussolenopsis"	"Phlyctinuscallosus"	"Scirtothripscitri"
"andorra"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"unitedarabemirates"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"afghanistan"	0	1	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
